Dataset,AnalysisType,LLM_Cluster_Used,Model,Mean_AUC,AUC_StdDev,SVI,TopFeatures
data_91_linear,Assisted,cluster_gatortron,GradientBoost,0.8235139861943828,0.04737782744595494,12.195121951219512,N/A
data_91_linear,Assisted,cluster_llama,LogisticReg,0.6236521444714567,0.05863683994267121,12.195121951219512,N/A
data_91_linear,Assisted,cluster_llama,RandomForest,0.870864393897074,0.03397146148945633,12.195121951219512,N/A
data_91_linear,Assisted,cluster_llama,GradientBoost,0.8124979691450982,0.05110200076054375,12.195121951219512,N/A
data_91_linear,Assisted,cluster_t5,LogisticReg,0.6284970257782975,0.06028222177733277,12.195121951219512,N/A
data_91_linear,Assisted,cluster_t5,RandomForest,0.870948109798646,0.032519188126527966,12.195121951219512,N/A
data_91_linear,Assisted,cluster_t5,GradientBoost,0.8061512121835768,0.051579983905234224,12.195121951219512,N/A
data_91_linear,Assisted,cluster_ernie,LogisticReg,0.6236821418629969,0.05770199385598842,12.195121951219512,N/A
data_91_linear,Assisted,cluster_ernie,RandomForest,0.8709178677661891,0.030346734223734836,12.195121951219512,N/A
data_91_linear,Assisted,cluster_ernie,GradientBoost,0.8107656752494341,0.04786751384758787,12.195121951219512,N/A
data_44_exponential,Unassisted,N/A,LogisticReg,0.6001482915084964,0.05550945930427781,25.0,N/A
data_44_exponential,Unassisted,N/A,RandomForest,0.8647429378426809,0.04061756117938879,25.0,N/A
data_44_exponential,Unassisted,N/A,GradientBoost,0.7600858699120805,0.05257159642304398,25.0,N/A
data_44_exponential,Assisted,cluster_e5_small,LogisticReg,0.6043531065502146,0.056480766540725855,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_e5_small,RandomForest,0.8625545902860704,0.041512236725902756,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_e5_small,GradientBoost,0.757223859378475,0.05588312208267688,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_roberta,LogisticReg,0.6270243379716776,0.05260325187965461,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_roberta,RandomForest,0.8686073903279372,0.038122571906838376,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_roberta,GradientBoost,0.7706702681246804,0.05791139714635047,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_bert,LogisticReg,0.6412913076585253,0.04927403994579849,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_bert,RandomForest,0.870297966792172,0.03885478945288364,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_bert,GradientBoost,0.7791338134383241,0.051762267468728744,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_minilm,LogisticReg,0.6210235829131632,0.05229595134811689,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_minilm,RandomForest,0.8665999879695483,0.037060526744209434,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_minilm,GradientBoost,0.7659253425047765,0.05145672047542052,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_gatortron,LogisticReg,0.6216831284086042,0.05648803712227574,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_gatortron,RandomForest,0.8680283254069626,0.041056280662442775,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_gatortron,GradientBoost,0.7795444262216329,0.05385777385973364,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_llama,LogisticReg,0.6028293425818184,0.051128482000196054,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_llama,RandomForest,0.8659372546536653,0.038940632318879724,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_llama,GradientBoost,0.7691388202091562,0.0530145035329762,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_t5,LogisticReg,0.6132973303731748,0.055247235625979926,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_t5,RandomForest,0.8689900459748939,0.03874372409203751,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_t5,GradientBoost,0.7674295609096644,0.058209234707415854,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_ernie,LogisticReg,0.6124749131597607,0.05311543330028347,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_ernie,RandomForest,0.8673039958401951,0.03862342468989029,23.80952380952381,N/A
data_44_exponential,Assisted,cluster_ernie,GradientBoost,0.7721525680550101,0.05484051735397821,23.80952380952381,N/A
data_42_linear,Unassisted,N/A,LogisticReg,0.6608002446286855,0.05364340849242918,25.0,N/A
data_42_linear,Unassisted,N/A,RandomForest,0.8871935549214175,0.03363916224413014,25.0,N/A
data_42_linear,Unassisted,N/A,GradientBoost,0.8840308533866507,0.04439458663238884,25.0,N/A
data_42_linear,Assisted,cluster_e5_small,LogisticReg,0.6616532210052081,0.05475099310290927,23.80952380952381,N/A
data_42_linear,Assisted,cluster_e5_small,RandomForest,0.8833236301659452,0.033429022721014834,23.80952380952381,N/A
data_42_linear,Assisted,cluster_e5_small,GradientBoost,0.8791643613446172,0.043899208838054884,23.80952380952381,N/A
data_42_linear,Assisted,cluster_roberta,LogisticReg,0.6627978303075178,0.05549338517717835,23.80952380952381,N/A
data_42_linear,Assisted,cluster_roberta,RandomForest,0.8837256402972907,0.03397197367432608,23.80952380952381,N/A
data_42_linear,Assisted,cluster_roberta,GradientBoost,0.8718818514789379,0.04749301846121721,23.80952380952381,N/A
data_42_linear,Assisted,cluster_bert,LogisticReg,0.6961657822739492,0.05229855838861133,23.80952380952381,N/A
data_42_linear,Assisted,cluster_bert,RandomForest,0.8898258251850596,0.0342659442794429,23.80952380952381,N/A
data_42_linear,Assisted,cluster_bert,GradientBoost,0.8768530309238121,0.04676006261217072,23.80952380952381,N/A
data_42_linear,Assisted,cluster_minilm,LogisticReg,0.6671647238065421,0.05290279512729605,23.80952380952381,N/A
data_42_linear,Assisted,cluster_minilm,RandomForest,0.8855464534614654,0.034736920836712815,23.80952380952381,N/A
data_42_linear,Assisted,cluster_minilm,GradientBoost,0.8756234580575943,0.040278958480064006,23.80952380952381,N/A
data_42_linear,Assisted,cluster_gatortron,LogisticReg,0.6592145588383735,0.05231227147794285,23.80952380952381,N/A
data_42_linear,Assisted,cluster_gatortron,RandomForest,0.8854212527583094,0.03455591138880912,23.80952380952381,N/A
data_42_linear,Assisted,cluster_gatortron,GradientBoost,0.8734126138749719,0.04168909099176797,23.80952380952381,N/A
data_42_linear,Assisted,cluster_llama,LogisticReg,0.6561883866369108,0.05178348256882782,23.80952380952381,N/A
data_42_linear,Assisted,cluster_llama,RandomForest,0.8802505631626301,0.03606492972362545,23.80952380952381,N/A
data_42_linear,Assisted,cluster_llama,GradientBoost,0.8819367609194019,0.04484834551816901,23.80952380952381,N/A
data_42_linear,Assisted,cluster_t5,LogisticReg,0.6686373976541692,0.05193112938128899,23.80952380952381,N/A
data_42_linear,Assisted,cluster_t5,RandomForest,0.8855270164232656,0.03650312291652704,23.80952380952381,N/A
data_42_linear,Assisted,cluster_t5,GradientBoost,0.8756807208040249,0.040122628560681814,23.80952380952381,N/A
data_42_linear,Assisted,cluster_ernie,LogisticReg,0.6664425891568034,0.053193323452616216,23.80952380952381,N/A
data_42_linear,Assisted,cluster_ernie,RandomForest,0.8903428583708759,0.03301838315047398,23.80952380952381,N/A
data_42_linear,Assisted,cluster_ernie,GradientBoost,0.8753434983373942,0.045688138697417356,23.80952380952381,N/A
data_88_exponential,Unassisted,N/A,LogisticReg,0.6157264724610844,0.05152989946843769,13.157894736842104,N/A
data_88_exponential,Unassisted,N/A,RandomForest,0.8804868111789951,0.03323273859317691,13.157894736842104,N/A
data_88_exponential,Unassisted,N/A,GradientBoost,0.802110697274692,0.05227629056964403,13.157894736842104,N/A
data_88_exponential,Assisted,cluster_e5_small,LogisticReg,0.6372182820954779,0.05092520823324972,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_e5_small,RandomForest,0.8795888717461463,0.03520874220456293,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_e5_small,GradientBoost,0.8055108372329799,0.05082886558551743,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_roberta,LogisticReg,0.6258783685686161,0.04959854143612015,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_roberta,RandomForest,0.8784882840026295,0.03485067125037296,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_roberta,GradientBoost,0.8017036230538496,0.053841160071605575,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_bert,LogisticReg,0.6334610316210562,0.05114483536128852,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_bert,RandomForest,0.8820870731775323,0.03317516921505853,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_bert,GradientBoost,0.8088197966582595,0.05146730486492722,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_ernie,LogisticReg,0.641198573260855,0.05062749626910647,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_ernie,RandomForest,0.883015488861146,0.0338284522042461,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_ernie,GradientBoost,0.8103490381454573,0.04999730054632342,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_minilm,LogisticReg,0.6463848539046276,0.05072582155731953,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_minilm,RandomForest,0.880502369300226,0.03245216819440192,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_minilm,GradientBoost,0.8079296881610611,0.048196193742258774,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_gatortron,LogisticReg,0.6561600179666689,0.0498821326295333,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_gatortron,RandomForest,0.8833503044984938,0.03224670871525905,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_gatortron,GradientBoost,0.8148106864708815,0.04797522731569449,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_t5,LogisticReg,0.6263907119196731,0.053100679197128416,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_t5,RandomForest,0.8782343425970153,0.03370061468569364,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_t5,GradientBoost,0.8027384171083572,0.05501500151775134,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_llama,LogisticReg,0.6229995071464027,0.05083946517541389,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_llama,RandomForest,0.8797825400054775,0.03313807967153262,12.820512820512821,N/A
data_88_exponential,Assisted,cluster_llama,GradientBoost,0.8069512420780337,0.05116590007008842,12.820512820512821,N/A
data_43_linear,Unassisted,N/A,LogisticReg,0.6745002511987657,0.05152466068683985,25.0,N/A
data_43_linear,Unassisted,N/A,RandomForest,0.8849491187884064,0.03164580841663955,25.0,N/A
data_43_linear,Unassisted,N/A,GradientBoost,0.8898619427745121,0.0342613907965983,25.0,N/A
data_43_linear,Assisted,cluster_roberta,LogisticReg,0.6941245094385438,0.0520025311921814,23.80952380952381,N/A
data_43_linear,Assisted,cluster_roberta,RandomForest,0.888738979606474,0.029741602567914933,23.80952380952381,N/A
data_43_linear,Assisted,cluster_roberta,GradientBoost,0.8729388203155523,0.04099448167413332,23.80952380952381,N/A
data_43_linear,Assisted,cluster_bert,LogisticReg,0.6826608198732178,0.051242212295280226,23.80952380952381,N/A
data_43_linear,Assisted,cluster_bert,RandomForest,0.8898311241971169,0.032430936967080125,23.80952380952381,N/A
data_43_linear,Assisted,cluster_bert,GradientBoost,0.8767555748435488,0.03720668142421893,23.80952380952381,N/A
data_43_linear,Assisted,cluster_minilm,LogisticReg,0.6866497497513313,0.0484359343869174,23.80952380952381,N/A
data_43_linear,Assisted,cluster_minilm,RandomForest,0.8844529663940547,0.030328788170634793,23.80952380952381,N/A
data_43_linear,Assisted,cluster_minilm,GradientBoost,0.8729356426476182,0.03855333312574322,23.80952380952381,N/A
data_43_linear,Assisted,cluster_gatortron,LogisticReg,0.6717509872775475,0.051092669768409274,23.80952380952381,N/A
data_43_linear,Assisted,cluster_gatortron,RandomForest,0.8878059261097575,0.030194811637217718,23.80952380952381,N/A
data_43_linear,Assisted,cluster_gatortron,GradientBoost,0.8797956906442606,0.03754942625725974,23.80952380952381,N/A
data_43_linear,Assisted,cluster_llama,LogisticReg,0.6763455452117697,0.052340599318167064,23.80952380952381,N/A
data_43_linear,Assisted,cluster_llama,RandomForest,0.8852463345446,0.031453324440051306,23.80952380952381,N/A
data_43_linear,Assisted,cluster_llama,GradientBoost,0.8809288914428539,0.0408126900117798,23.80952380952381,N/A
data_43_linear,Assisted,cluster_t5,LogisticReg,0.6810625619172136,0.05430735967863947,23.80952380952381,N/A
data_43_linear,Assisted,cluster_t5,RandomForest,0.8903310084398057,0.03039354828694561,23.80952380952381,N/A
data_43_linear,Assisted,cluster_t5,GradientBoost,0.8824290976473453,0.03759794919463123,23.80952380952381,N/A
data_43_linear,Assisted,cluster_ernie,LogisticReg,0.6914034022546026,0.0501976361473396,23.80952380952381,N/A
data_43_linear,Assisted,cluster_ernie,RandomForest,0.8899377218520926,0.03126848862124294,23.80952380952381,N/A
data_43_linear,Assisted,cluster_ernie,GradientBoost,0.8808824874141272,0.041910808480027775,23.80952380952381,N/A
data_68_exponential,Unassisted,N/A,LogisticReg,0.6103486781099462,0.05195513488539841,16.666666666666668,N/A
data_68_exponential,Unassisted,N/A,RandomForest,0.8739552751146634,0.033120964722565656,16.666666666666668,N/A
data_68_exponential,Unassisted,N/A,GradientBoost,0.8007758254708238,0.05519038895505154,16.666666666666668,N/A
data_68_exponential,Assisted,cluster_roberta,LogisticReg,0.6259484248441974,0.05597700351118418,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_roberta,RandomForest,0.8754900254757181,0.03260022208681636,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_roberta,GradientBoost,0.7955971165426012,0.053881851337798305,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_bert,LogisticReg,0.6141104474955277,0.05590465341055427,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_bert,RandomForest,0.8753348668562255,0.03331941079710905,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_bert,GradientBoost,0.797492989725057,0.053748722816166425,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_minilm,LogisticReg,0.6189919727265973,0.05646992405805909,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_minilm,RandomForest,0.8759683969600272,0.03498783584293603,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_minilm,GradientBoost,0.7995609242482175,0.050226859131555876,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_gatortron,LogisticReg,0.6241324832165305,0.05436728501274584,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_gatortron,RandomForest,0.8751186092989492,0.03148942333621456,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_gatortron,GradientBoost,0.8017953356173503,0.05576567361943253,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_t5,LogisticReg,0.6339645335294574,0.05775526157744713,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_t5,RandomForest,0.8791988751669861,0.033636659430060535,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_t5,GradientBoost,0.8035747117505164,0.05840524800819749,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_ernie,LogisticReg,0.6344107815902484,0.052578159884036524,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_ernie,RandomForest,0.8768385873121619,0.03419889194271065,16.129032258064516,N/A
data_68_exponential,Assisted,cluster_ernie,GradientBoost,0.8012202190705046,0.058321053569292604,16.129032258064516,N/A
data_48_cubic,Unassisted,N/A,LogisticReg,0.7019205817475235,0.04958820612346542,22.727272727272727,N/A
data_48_cubic,Unassisted,N/A,RandomForest,0.8774240891769728,0.034268567754765084,22.727272727272727,N/A
data_48_cubic,Unassisted,N/A,GradientBoost,0.9609338687375266,0.024554039806651926,22.727272727272727,N/A
data_48_cubic,Assisted,cluster_minilm,LogisticReg,0.6899459782773859,0.04882689083483652,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_minilm,RandomForest,0.8755865945075303,0.03438699616263052,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_minilm,GradientBoost,0.9531200010592892,0.028107849489004855,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_gatortron,LogisticReg,0.6999877733476783,0.05441912591516346,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_gatortron,RandomForest,0.8780020726596385,0.03289589392333357,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_gatortron,GradientBoost,0.9568791492530885,0.025474273860089325,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_llama,LogisticReg,0.6893636093395602,0.04842455390631924,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_llama,RandomForest,0.875401825418544,0.03364422942207497,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_llama,GradientBoost,0.9598503619982695,0.026262902590569535,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_t5,LogisticReg,0.6852726617974867,0.04933180261578024,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_t5,RandomForest,0.8768959146409159,0.03518629811451003,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_t5,GradientBoost,0.9541669359123179,0.026995048888389092,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_ernie,LogisticReg,0.6951526691124061,0.04909696472673747,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_ernie,RandomForest,0.8768880160955965,0.03291596990671807,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_ernie,GradientBoost,0.9588764951990378,0.026376678643460622,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_roberta,LogisticReg,0.6984863249702833,0.052344760895157015,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_roberta,RandomForest,0.8808895888355068,0.03457134218632546,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_roberta,GradientBoost,0.9581728250647682,0.027757895120067346,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_bert,LogisticReg,0.6870964767293678,0.05190066285277175,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_bert,RandomForest,0.8751483034998989,0.032533852508733876,21.73913043478261,N/A
data_48_cubic,Assisted,cluster_bert,GradientBoost,0.9563039352803245,0.02969970837536894,21.73913043478261,N/A
data_13_cubic,Unassisted,N/A,LogisticReg,0.9119024107919703,0.033536365828975484,62.5,N/A
data_13_cubic,Unassisted,N/A,RandomForest,0.9591121503150548,0.02283456230631716,62.5,N/A
data_13_cubic,Unassisted,N/A,GradientBoost,0.9877875600428149,0.014257930072896849,62.5,N/A
data_13_cubic,Assisted,cluster_gatortron,LogisticReg,0.8914583998994388,0.03469154969049356,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_gatortron,RandomForest,0.9591491761465725,0.020920926262529786,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_gatortron,GradientBoost,0.9876134854807703,0.01537151808308224,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_ernie,LogisticReg,0.8817233284239719,0.03856610526068717,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_ernie,RandomForest,0.9534143323158069,0.020628339875579462,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_ernie,GradientBoost,0.9873133252909843,0.014156778402802541,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_minilm,LogisticReg,0.8850045222351354,0.0411081460548251,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_minilm,RandomForest,0.947502538253964,0.026676693058005813,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_minilm,GradientBoost,0.9872095204125726,0.01658025090294346,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_llama,LogisticReg,0.8967173310054364,0.03915321116533138,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_llama,RandomForest,0.9499586793001579,0.023362014955462862,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_llama,GradientBoost,0.9887416969976011,0.01303422464771894,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_t5,LogisticReg,0.8734873031584008,0.03964957581073872,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_t5,RandomForest,0.9476459455221725,0.02556679196818786,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_t5,GradientBoost,0.988072871019438,0.015640191630101743,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_roberta,LogisticReg,0.869110542192127,0.03986491943366596,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_roberta,RandomForest,0.9540831543550952,0.02204648793553795,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_roberta,GradientBoost,0.9868486312078355,0.016156735075062816,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_bert,LogisticReg,0.8741305832315314,0.040185008656750024,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_bert,RandomForest,0.9453708691076159,0.02284681697176277,55.55555555555556,N/A
data_13_cubic,Assisted,cluster_bert,GradientBoost,0.986337781917387,0.01669601722914844,55.55555555555556,N/A
data_33_quadratic,Unassisted,N/A,LogisticReg,0.5950086503221622,0.05966438425929073,31.25,N/A
data_33_quadratic,Unassisted,N/A,RandomForest,0.8611973961966529,0.03797093416055701,31.25,N/A
data_33_quadratic,Unassisted,N/A,GradientBoost,0.93132330393128,0.031275160580146774,31.25,N/A
data_33_quadratic,Assisted,cluster_llama,LogisticReg,0.5960701495688221,0.0579206958614381,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_llama,RandomForest,0.8709365346826567,0.03585286805973243,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_llama,GradientBoost,0.9275142017019228,0.030753136519917144,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_t5,LogisticReg,0.6112658128292755,0.05741841755625529,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_t5,RandomForest,0.8671559320918741,0.036905634071975085,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_t5,GradientBoost,0.9234608694669698,0.03111623996958717,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_ernie,LogisticReg,0.6481638037227239,0.05893720998924749,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_ernie,RandomForest,0.870482367367535,0.03633286459572255,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_ernie,GradientBoost,0.9251041652292836,0.03609789963577828,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_e5_small,LogisticReg,0.6149509292658,0.06188538583397849,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_e5_small,RandomForest,0.859277932686257,0.03812599982674108,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_e5_small,GradientBoost,0.925311625057082,0.03195524879104668,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_roberta,LogisticReg,0.624492519310175,0.061147968089362056,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_roberta,RandomForest,0.8624545891487145,0.03884529834375838,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_roberta,GradientBoost,0.9219314801598195,0.0340247626950777,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_bert,LogisticReg,0.6322684984989166,0.05089359650671448,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_bert,RandomForest,0.8670249559355514,0.034331791738363183,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_bert,GradientBoost,0.9268673570077108,0.03216391240111889,29.41176470588235,N/A
data_33_quadratic,Assisted,cluster_minilm,LogisticReg,0.6369090767675997,0.05966298909988875,29.41176470588235,N/A
